setup_fly_threshold_km,model,model_family,kind,k,n_layers,params,best_epoch,best_test_loss,final_delta_mse_norm,train_samples,test_samples,train_fly_rate,test_fly_rate,runtime_seconds,mean_error_km,median_error_km,p90_error_km,p95_error_km,stationary_error_mean_km,fly_error_mean_km,migration50_error_mean_km,setup,test,runtime_seconds_final_runner,feature_mode,final_test_loss,selected_fly_threshold,raw_pos_weight,pos_weight,ungated_mean_error_km,ungated_median_error_km,ungated_p90_error_km,ungated_p95_error_km,ungated_stationary_error_mean_km,ungated_fly_error_mean_km,ungated_migration50_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,gated_fly_error_mean_km,gated_migration50_error_mean_km,fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,fly_roc_auc,fly_pr_auc,fixed_0_5_fly_threshold,fixed_0_5_fly_tp,fixed_0_5_fly_fp,fixed_0_5_fly_tn,fixed_0_5_fly_fn,fixed_0_5_fly_accuracy,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_specificity,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_roc_auc,fixed_0_5_fly_pr_auc
10.0,direct_mlp_sequence_k7,direct,direct_mlp_sequence,7,0,24898,9,1.2476129159871405,1.2476129159871405,9419,2897,0.1900414079427719,0.22229893505573273,7.814949035644531,19.018545496330468,4.851197601235357,59.98129126806309,97.42680036172852,7.217907180126397,60.30245563050404,83.34796989657376,fly_threshold_10km,with_weather,7.816445350646973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,direct_transformer_4l_k7,direct,direct_transformer,7,4,805058,12,1.241769597741872,1.241769597741872,9419,2897,0.1900414079427719,0.22229893505573273,27.11607003211975,17.78784351372563,3.692540702426154,56.868553523386375,97.47460946686138,5.656735284696567,60.227885190748125,81.85164687313939,fly_threshold_10km,with_weather,27.121569871902466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,triline_lstm_4l_k7,triline,triline_lstm,7,4,2161348,4,2.236693007393792,,9419,2897,0.1900414079427719,0.22229893505573273,19.308072805404663,17.333205316048602,1.4073379342353958,53.56528221890909,99.03196700779229,2.85041799180195,68.00047215071895,100.61149529899635,fly_threshold_10km,with_weather,19.31758427619934,full,2.236693007393792,0.8034465141687542,4.262011173184358,4.262011173184358,17.86072171762639,2.406347826649654,53.537690190293844,99.03196700779229,3.669543434666967,67.50780971686177,100.2425211654959,17.333205316048602,1.4073379342353958,53.56528221890909,99.03196700779229,2.85041799180195,68.00047215071895,100.61149529899635,0.8034465141687542,396,100,2153,248,0.8798757335174319,0.7983870967741935,0.6149068322981367,0.9556147359076786,0.6947368421052632,0.04438526409232135,0.8862910184626157,0.7714837022511529,0.5,486,295,1958,158,0.843631342768381,0.6222791293213829,0.7546583850931677,0.869063470927652,0.6821052631578948,0.13093652907234798,0.8862910184626157,0.7714837022511529
10.0,triline_transformer_v2_k7,triline,triline_transformer,7,4,3291460,17,2.2039620388694003,,9419,2897,0.1900414079427719,0.22229893505573273,42.81224298477173,17.43912367113556,1.5141575679107058,57.602402516764656,98.76349086916129,3.2070371420012647,67.22932700986159,97.83456857374213,fly_threshold_10km,with_weather,42.82274842262268,full,2.2039620388694003,0.7198989772796632,4.262011173184358,4.262011173184358,17.964286654006653,2.4123910612283352,57.602402516764656,98.76349086916129,3.978891783824864,66.89145224798114,97.60055672288993,17.43912367113556,1.5141575679107058,57.602402516764656,98.76349086916129,3.2070371420012647,67.22932700986159,97.83456857374213,0.7198989772796632,424,127,2126,220,0.8802209181912323,0.7695099818511797,0.6583850931677019,0.9436307146027519,0.709623430962343,0.056369285397248114,0.8835048782437771,0.7554363614196014,0.5,482,287,1966,162,0.845012081463583,0.6267880364109233,0.7484472049689441,0.8726142920550377,0.6822363765038925,0.12738570794496226,0.8835048782437771,0.7554363614196014
10.0,direct_mlp_sequence_k14,direct,direct_mlp_sequence,14,0,41026,5,1.5699494181235143,1.5699494181235143,8611,2608,0.18731854856014252,0.22546012699604034,6.170032739639282,20.681628969660213,5.125831152038739,66.20398830426369,105.88192977183797,7.79961084930661,64.93618101577293,86.38690781450717,fly_threshold_10km,with_weather,6.173536062240601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,direct_transformer_4l_k14,direct,direct_transformer,14,4,805954,6,1.409296636566794,1.409296636566794,8611,2608,0.18731854856014252,0.22546012699604034,24.481520652770996,21.56520383249083,8.219064957765767,60.16482988497117,92.46845927108679,9.798492611228005,61.98825938852979,85.4357697411277,fly_threshold_10km,with_weather,24.48902463912964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,triline_lstm_4l_k14,triline,triline_lstm,14,4,2161348,4,2.213995057381004,,8611,2608,0.18731854856014252,0.22546012699604034,22.963838815689087,18.02302046324037,1.5745196114058955,59.059378216206916,97.81341588458477,3.364362341326668,68.38099564396433,96.3631245998879,fly_threshold_10km,with_weather,22.969841480255127,full,2.213995057381004,0.7163258147239685,4.338499690018599,4.338499690018599,18.68875514139441,2.7364050238219155,59.059378216206916,97.81341588458477,4.3476561211980185,67.95579599308951,96.04847659256997,18.02302046324037,1.5745196114058955,59.059378216206916,97.81341588458477,3.364362341326668,68.38099564396433,96.3631245998879,0.7163258147239685,399,123,1897,189,0.8803680981595092,0.764367816091954,0.6785714285714286,0.939108910891089,0.7189189189189189,0.06089108910891089,0.8885330369771671,0.7850513101472936,0.5,477,382,1638,111,0.8109662576687117,0.5552968568102444,0.8112244897959183,0.810891089108911,0.6592950932964754,0.1891089108910891,0.8885330369771671,0.7850513101472936
10.0,triline_transformer_v2_k14,triline,triline_transformer,14,4,3293252,30,2.197684641264699,,8611,2608,0.18731854856014252,0.22546012699604034,44.79312229156494,18.30804510872647,1.6244244283139087,62.045213885658995,102.4426739567534,3.4164120159404376,69.46637648190298,96.59241130767985,fly_threshold_10km,with_weather,44.80212759971619,full,2.197684641264699,0.7561529447697104,4.338499690018599,4.338499690018599,18.849693397751334,2.5083075899868135,61.35857847181903,102.4426739567534,4.210240560898298,69.14169123864102,96.32237528275188,18.30804510872647,1.6244244283139087,62.045213885658995,102.4426739567534,3.4164120159404376,69.46637648190298,96.59241130767985,0.7561529447697104,402,129,1891,186,0.879217791411043,0.7570621468926554,0.6836734693877551,0.9361386138613862,0.7184986595174263,0.06386138613861386,0.8893800094295143,0.780544698762805,0.5,469,336,1684,119,0.8255368098159509,0.5826086956521739,0.7976190476190477,0.8336633663366336,0.6733668341708543,0.16633663366336635,0.8893800094295143,0.780544698762805
10.0,direct_mlp_sequence_k30,direct,direct_mlp_sequence,30,0,77890,6,1.58075839257523,1.58075839257523,6899,2024,0.1759675294160843,0.2139328122138977,4.693371534347534,19.0772889133004,5.024322713282221,58.837318739829065,94.89261492078371,6.70726626519958,64.5292658951212,93.30107926691441,fly_threshold_10km,with_weather,4.696876049041748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,direct_transformer_4l_k30,direct,direct_transformer,30,4,808002,7,1.3933865468021438,1.3933865468021438,6899,2024,0.1759675294160843,0.2139328122138977,17.923866987228394,17.4664308533168,3.451662709125854,59.75626185265976,92.35551167905795,5.822011345419873,60.252277128291425,81.68763226846065,fly_threshold_10km,with_weather,17.929367303848267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
